holiday,ds,lower_window,upper_window
black_friday,2017-11-24,-3,3
black_friday,2018-11-23,-3,3
black_friday,2019-11-29,-3,3
black_friday,2020-11-27,-3,3
black_friday,2021-11-26,-3,3
black_friday,2022-11-25,-3,3
black_friday,2023-11-24,-3,3
black_friday,2024-11-29,-3,3
black_friday,2025-11-28,-3,3
christmas,2017-12-25,-1,0
christmas,2018-12-25,-1,0
christmas,2019-12-25,-1,0
christmas,2020-12-25,-1,0
christmas,2021-12-25,-1,0
christmas,2022-12-25,-1,0
christmas,2023-12-25,-1,0
christmas,2024-12-25,-1,0
christmas,2025-12-25,-1,0
new_year,2017-01-01,-1,0
new_year,2018-01-01,-1,0
new_year,2019-01-01,-1,0
new_year,2020-01-01,-1,0
new_year,2021-01-01,-1,0
new_year,2022-01-01,-1,0
new_year,2023-01-01,-1,0
new_year,2024-01-01,-1,0
new_year,2025-01-01,-1,0
carnival,2017-02-28,-1,0
carnival,2018-02-13,-1,0
carnival,2019-03-05,-1,0
carnival,2020-02-25,-1,0
carnival,2021-02-16,-1,0
carnival,2022-03-01,-1,0
carnival,2023-02-21,-1,0
carnival,2024-02-13,-1,0
carnival,2025-03-04,-1,0
valentines,2016-06-12,-7,0
valentines,2017-06-12,-7,0
valentines,2018-06-12,-7,0
valentines,2019-06-12,-7,0
valentines,2020-06-12,-7,0
valentines,2021-06-12,-7,0
mothers_day,2018-05-13,-7,0
mothers_day,2019-05-12,-7,0
monday,2020-09-07,-2,0
monday,2020-10-12,-2,0
monday,2020-11-02,-2,0
monday,2021-11-15,-2,0
friday,2018-09-07,0,2
friday,2018-10-12,0,2
friday,2018-11-02,0,2
friday,2019-11-15,0,2
friday,2020-05-01,0,2
others,2019-12-23,0,0
others,2019-12-30,0,0
